[29-Feb-2016 18:52:25 UTC] PHP Parse error:  syntax error, unexpected '{' in Z:\home\woodhand.ru\www\controller\controller.php on line 431
[01-Mar-2016 18:10:09 UTC] PHP Warning:  Invalid argument supplied for foreach() in Z:\home\woodhand.ru\www\views\wood\inc\leftbar.php on line 88
[02-Mar-2016 16:24:39 UTC] PHP Warning:  number_format() expects parameter 2 to be long, string given in Z:\home\woodhand.ru\www\views\wood\inc\header.php on line 65
[13-Mar-2016 17:28:46 UTC] PHP Warning:  include(home.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory in Z:\home\woodhand.ru\www\views\wood\index.php on line 5
[13-Mar-2016 17:28:46 UTC] PHP Warning:  include() [<a href='function.include'>function.include</a>]: Failed opening 'home.php' for inclusion (include_path='.;C:\php\pear') in Z:\home\woodhand.ru\www\views\wood\index.php on line 5
[13-Mar-2016 17:29:20 UTC] PHP Warning:  include(home.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory in Z:\home\woodhand.ru\www\views\wood\index.php on line 5
[13-Mar-2016 17:29:20 UTC] PHP Warning:  include() [<a href='function.include'>function.include</a>]: Failed opening 'home.php' for inclusion (include_path='.;C:\php\pear') in Z:\home\woodhand.ru\www\views\wood\index.php on line 5
[31-Mar-2016 07:14:31 UTC] PHP Warning:  rename(userfiles/tmp/1459408438_467.jpg,userfiles//product_img/1459408438_467.jpg) [<a href='function.rename'>function.rename</a>]: Системе не удается найти указанный путь. (code: 3) in Z:\home\woodhand.ru\www\model\model.php on line 1197
[31-Mar-2016 07:14:31 UTC] PHP Warning:  rename(userfiles/tmp/m_1459408438_467.jpg,userfiles//product_img/m_1459408438_467.jpg) [<a href='function.rename'>function.rename</a>]: Системе не удается найти указанный путь. (code: 3) in Z:\home\woodhand.ru\www\model\model.php on line 1201
[31-Mar-2016 07:14:31 UTC] PHP Warning:  getimagesize(userfiles//product_img/m_1459408438_467.jpg) [<a href='function.getimagesize'>function.getimagesize</a>]: failed to open stream: No such file or directory in Z:\home\woodhand.ru\www\functions\functions.php on line 262
[31-Mar-2016 07:14:31 UTC] PHP Warning:  imagecopyresampled() expects parameter 2 to be resource, null given in Z:\home\woodhand.ru\www\functions\functions.php on line 282
